,AI_Semi_Rev,NonAI_Semi_Rev,Software_Rev,Total_Revenue,Rev_Growth_YoY,Gross_Margin,Gross_Profit,Opex,EBIT,EBIT_Margin,DA,EBITDA,EBITDA_Margin,Tax,NOPAT,Capex,WC_Change,FCFF,FCFF_Margin
FY26,60000,16500,28500,105000,0.6435,0.77,80850.0,8925.0,71925.0,0.685,1260.0,73185.0,0.697,12946.0,58978.0,1260.0,1050.0,57928.0,0.5517
FY27,115000,17000,31000,163000,0.5524,0.775,126325.0,12225.0,114100.0,0.7,1630.0,115730.0,0.71,20538.0,93562.0,1630.0,1956.0,91606.0,0.562
FY28,165000,17750,33500,216250,0.3267,0.78,168675.0,15570.0,153105.0,0.708,1946.0,155051.0,0.717,27559.0,125546.0,2162.0,2162.0,123167.0,0.5696
FY29,205000,18500,35500,259000,0.1977,0.78,202020.0,18130.0,183890.0,0.71,2331.0,186221.0,0.719,33100.0,150790.0,2590.0,2072.0,148459.0,0.5732
FY30,235000,19250,37500,291750,0.1264,0.78,227565.0,20131.0,207434.0,0.711,2334.0,209768.0,0.719,37338.0,170096.0,2918.0,2334.0,167179.0,0.573
