,2025-10-31,2024-10-31,2023-10-31,2022-10-31,2021-10-31
Tax Effect Of Unusual Items,-127680000.0,-584010000.0,-15611000.0,-16950000.0,
Tax Rate For Calcs,0.21,0.378,0.067,0.075,
Normalized EBITDA,35322000000.0,25424000000.0,20787000000.0,19381000000.0,
Total Unusual Items,-608000000.0,-1545000000.0,-233000000.0,-226000000.0,
Total Unusual Items Excluding Goodwill,-608000000.0,-1545000000.0,-233000000.0,-226000000.0,
Net Income From Continuing Operation Net Minority Interest,23126000000.0,6168000000.0,14082000000.0,11495000000.0,
Reconciled Depreciation,8775000000.0,10010000000.0,3835000000.0,4984000000.0,
Reconciled Cost Of Revenue,13849000000.0,12299000000.0,8688000000.0,7636000000.0,
EBITDA,34714000000.0,23879000000.0,20554000000.0,19155000000.0,
EBIT,25939000000.0,13869000000.0,16719000000.0,14171000000.0,
Net Interest Income,-2863000000.0,-3492000000.0,-1087000000.0,-1637000000.0,
Interest Expense,3210000000.0,3953000000.0,1622000000.0,1737000000.0,
Interest Income,347000000.0,461000000.0,535000000.0,100000000.0,
Normalized Income,23606320000.0,7128990000.0,14299389000.0,11704050000.0,
Net Income From Continuing And Discontinued Operation,23126000000.0,5895000000.0,14082000000.0,11495000000.0,
Total Expenses,37812000000.0,36578000000.0,19368000000.0,18921000000.0,
Total Operating Income As Reported,25484000000.0,13463000000.0,16207000000.0,14225000000.0,
Diluted Average Shares,4853000000.0,4778000000.0,4270000000.0,4230000000.0,
Basic Average Shares,4712000000.0,4624000000.0,4150000000.0,4090000000.0,
Diluted EPS,4.77,1.23,3.298,2.653,
Basic EPS,4.91,1.27,3.393,2.744,
Diluted NI Availto Com Stockholders,23126000000.0,5895000000.0,14082000000.0,11223000000.0,
Net Income Common Stockholders,23126000000.0,5895000000.0,14082000000.0,11223000000.0,
Preferred Stock Dividends,,,,272000000.0,299000000.0
Net Income,23126000000.0,5895000000.0,14082000000.0,11495000000.0,
Net Income Including Noncontrolling Interests,23126000000.0,5895000000.0,14082000000.0,11495000000.0,
Net Income Discontinuous Operations,0.0,-273000000.0,0.0,0.0,
Net Income Continuous Operations,23126000000.0,6168000000.0,14082000000.0,11495000000.0,
Tax Provision,-397000000.0,3748000000.0,1015000000.0,939000000.0,
Pretax Income,22729000000.0,9916000000.0,15097000000.0,12434000000.0,
Other Income Expense,-483000000.0,-1588000000.0,-267000000.0,-211000000.0,
Other Non Operating Income Expenses,125000000.0,-43000000.0,-34000000.0,15000000.0,
Special Income Charges,-591000000.0,-1533000000.0,-244000000.0,-57000000.0,
Restructuring And Mergern Acquisition,591000000.0,1533000000.0,244000000.0,57000000.0,
Gain On Sale Of Security,-17000000.0,-12000000.0,11000000.0,-169000000.0,
Net Non Operating Interest Income Expense,-2863000000.0,-3492000000.0,-1087000000.0,-1637000000.0,
Interest Expense Non Operating,3210000000.0,3953000000.0,1622000000.0,1737000000.0,
Interest Income Non Operating,347000000.0,461000000.0,535000000.0,100000000.0,
Operating Income,26075000000.0,14996000000.0,16451000000.0,14282000000.0,
Operating Expense,17219000000.0,17513000000.0,8239000000.0,7813000000.0,
Depreciation Amortization Depletion Income Statement,2031000000.0,3244000000.0,1394000000.0,1512000000.0,
Depreciation And Amortization In Income Statement,2031000000.0,3244000000.0,1394000000.0,1512000000.0,
Amortization,2031000000.0,3244000000.0,1394000000.0,1512000000.0,
Amortization Of Intangibles Income Statement,2031000000.0,3244000000.0,1394000000.0,1512000000.0,
Research And Development,10977000000.0,9310000000.0,5253000000.0,4919000000.0,
Selling General And Administration,4211000000.0,4959000000.0,1592000000.0,1382000000.0,
Gross Profit,43294000000.0,32509000000.0,24690000000.0,22095000000.0,
Cost Of Revenue,20593000000.0,19065000000.0,11129000000.0,11108000000.0,
Total Revenue,63887000000.0,51574000000.0,35819000000.0,33203000000.0,
Operating Revenue,63887000000.0,51574000000.0,35819000000.0,33203000000.0,
