,2025-10-31,2024-10-31,2023-10-31,2022-10-31,2021-10-31
Free Cash Flow,26914000000.0,19414000000.0,17633000000.0,16312000000.0,
Repurchase Of Capital Stock,-6310000000.0,-12392000000.0,-7685000000.0,-8455000000.0,
Repayment Of Debt,-18478000000.0,-19608000000.0,-403000000.0,-2361000000.0,
Issuance Of Debt,15666000000.0,39954000000.0,0.0,1935000000.0,
Issuance Of Capital Stock,221000000.0,190000000.0,122000000.0,114000000.0,
Capital Expenditure,-623000000.0,-548000000.0,-452000000.0,-424000000.0,
Interest Paid Supplemental Data,2672000000.0,3250000000.0,1503000000.0,1386000000.0,
Income Tax Paid Supplemental Data,2589000000.0,3155000000.0,1782000000.0,908000000.0,
End Cash Position,16178000000.0,9348000000.0,14189000000.0,12416000000.0,
Beginning Cash Position,9348000000.0,14189000000.0,12416000000.0,12163000000.0,
Changes In Cash,6830000000.0,-4841000000.0,1773000000.0,253000000.0,
Financing Cash Flow,-20127000000.0,-1733000000.0,-15623000000.0,-15816000000.0,
Cash Flow From Continuing Financing Activities,-20127000000.0,-1733000000.0,-15623000000.0,-15816000000.0,
Net Other Financing Charges,-84000000.0,-63000000.0,-12000000.0,-17000000.0,
Cash Dividends Paid,-11142000000.0,-9814000000.0,-7645000000.0,-7032000000.0,
Net Preferred Stock Issuance,,,,,0.0
Preferred Stock Issuance,,,,,0.0
Net Common Stock Issuance,-6089000000.0,-12202000000.0,-7563000000.0,-8341000000.0,
Common Stock Payments,-6310000000.0,-12392000000.0,-7685000000.0,-8455000000.0,
Common Stock Issuance,221000000.0,190000000.0,122000000.0,114000000.0,
Net Issuance Payments Of Debt,-2812000000.0,20346000000.0,-403000000.0,-426000000.0,
Net Long Term Debt Issuance,-2812000000.0,20346000000.0,-403000000.0,-426000000.0,
Long Term Debt Payments,-18478000000.0,-19608000000.0,-403000000.0,-2361000000.0,
Long Term Debt Issuance,15666000000.0,39954000000.0,0.0,1935000000.0,
Investing Cash Flow,-580000000.0,-23070000000.0,-689000000.0,-667000000.0,
Cash Flow From Continuing Investing Activities,-580000000.0,-23070000000.0,-689000000.0,-667000000.0,
Net Other Investing Changes,92000000.0,-10000000.0,-66000000.0,3000000.0,
Net Investment Purchase And Sale,-349000000.0,-19000000.0,-118000000.0,0.0,
Sale Of Investment,248000000.0,156000000.0,228000000.0,200000000.0,
Purchase Of Investment,-597000000.0,-175000000.0,-346000000.0,-200000000.0,
Net Business Purchase And Sale,300000000.0,-22493000000.0,-53000000.0,-246000000.0,
Sale Of Business,300000000.0,3485000000.0,0.0,0.0,
Purchase Of Business,0.0,-25978000000.0,-53000000.0,-246000000.0,
Net PPE Purchase And Sale,-623000000.0,-548000000.0,-452000000.0,-424000000.0,
Sale Of PPE,,,,,4000000.0
Purchase Of PPE,-623000000.0,-548000000.0,-452000000.0,-424000000.0,
Operating Cash Flow,27537000000.0,19962000000.0,18085000000.0,16736000000.0,
Cash Flow From Continuing Operating Activities,27537000000.0,19962000000.0,18085000000.0,16736000000.0,
Change In Working Capital,-8500000000.0,-4637000000.0,-1643000000.0,-1654000000.0,
Change In Other Working Capital,-5155000000.0,-7235000000.0,-1692000000.0,-78000000.0,
Change In Payables And Accrued Expense,-118000000.0,121000000.0,209000000.0,-79000000.0,
Change In Payable,-118000000.0,121000000.0,209000000.0,-79000000.0,
Change In Account Payable,-118000000.0,121000000.0,209000000.0,-79000000.0,
Change In Inventory,-510000000.0,150000000.0,27000000.0,-627000000.0,
Change In Receivables,-2717000000.0,2327000000.0,-187000000.0,-870000000.0,
Changes In Account Receivables,-2717000000.0,2327000000.0,-187000000.0,-870000000.0,
Other Non Cash Items,438000000.0,831000000.0,141000000.0,312000000.0,
Stock Based Compensation,7568000000.0,5741000000.0,2171000000.0,1533000000.0,
Deferred Tax,-4008000000.0,1965000000.0,-501000000.0,-34000000.0,
Deferred Income Tax,-4008000000.0,1965000000.0,-501000000.0,-34000000.0,
Depreciation Amortization Depletion,8775000000.0,10010000000.0,3835000000.0,4984000000.0,
Depreciation And Amortization,8775000000.0,10010000000.0,3835000000.0,4984000000.0,
Amortization Cash Flow,8201000000.0,9417000000.0,3333000000.0,4455000000.0,
Amortization Of Intangibles,8201000000.0,9417000000.0,3333000000.0,4455000000.0,
Depreciation,574000000.0,593000000.0,502000000.0,529000000.0,
Operating Gains Losses,138000000.0,157000000.0,,100000000.0,198000000.0
Net Income From Continuing Operations,23126000000.0,5895000000.0,14082000000.0,11495000000.0,
